tid,PERSON,NORP,ORG,FAC,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORDINAL,CARDINAL
611025,Nirmala,Hindu,Court,Lalbagh Road,Nirmala,Punjab,Schedule D,,Dorab Cawasji Warden v Coomi Sorab Warden and Others,Rule 11 of the Code of Civil Procedure,,2006,,50 ,,,first,1
762747,Lessor,Demised,Lessee,the Sub Registry Alipore,Calcutta,the District of 24 Parganas,SC 936,the Calcutta Thika Tenancy Ordinance XI,the Judgment and Order,Act,,1949,,,two hundred fifty rupees,6 cottas 5,first,5
268937,Gulab Sundari,Bhumidar,Court,F A 332,Bhumidar,the Gaon Sabha,,Civil Suit No 174,Award,the Land Acquisition Collector,English,1980,,,,,1st,one
104312764,Madan B Lokur,,Court,,India,,,,The Collector of Central Excise,Section 28 of the Act,,six months,,100 ,,742 5 KL,Sixth,1
353751,Madan Lal,,the High Court,Nagpur Bench,K S ,,,,,Rule 1 Order 23 Code of Civil Procedure,,July 12 1943,,,,,first,two
584252,Joshi,,the High Court,Circuit Bench,India,Rohtak Road,Rs 1 000,, Bungalow of Murli Manohar Joshi,the Indian Contract Act,English,March 25 1949,,five per cent,25 000,2433 sq,first,140
1327080,S B Sinha,,Court,,Delhi,,Dabur Red Tooth Powder ,,Dhoda House,the 1957 Act,,1957,,,Rs 50 000,,third,2
1426304,Jagdish Chandra Gupta,British,Court,the Delhi Noida Bridge Project,Dehradun,,,,,Section 69 of the Partnership Act,,1996,,,one hundred rupees,,third,9
1951505,Abdul Samad,Western,Corporation,Moonim Compound,Mumbai,Sahara Shoppee,MS Poles,,SCC 464,section 351 of the Mumbai Municipal Corporation Act,,2003,1 4 1962,,10M x 6 9M,3 2 m,first,1 4 1962
91635,Anoop Singh,,Court,,India,Corner,,,the Controller of Patents and Designs,Act,,1986,,,,,second,1
8919089,Priti Paul,Danish,Petitioners,Appellete Side,J ,,,,,the Indian Penal Code,,2014,,,,,second,13 10 2014
844819,Messrs,Hindu,the High Court,,England,,,,,the Income tax Act,English,one year,,,65,,second,two
634059,Romesh Chand P W 6,A N ,the High Court,Bar,Jangpura B ,,Plot No 8,Civil Appeal No 1776,Exhibit P 8,Exhibit P 7,,August 11 1955,,,7 500,1500 sq yds,third,1
1013766,Gupta,Indian,Customs,,India,,Code,,M K S ,Code,,1973,twenty four hours,,,,first,2
1187885,S P Bharucha,Indian,Collector,,KOCHI,,Lupofresh,,,Section 111,,1962,,,Rs 3 25 lacs,2000 kg,second,1
68469,Aizawl,,Court,,the State of Mizoram,District Aizawl,,,The Collector made his Award No 4 1988,Act,,13th August 1987,,,26 39 286,,,4
1771435,V C Mahajan,,Court,the Delhi Hissar National Highway,CA,,PW 3,,the Collector made his award,Section 18,,three months,,12 ,Rs 1 05 000,Rs 30 000 per acre,,1
557368,Balu Joshi,,the High Court,The Sub Jail Newasa,Newasa,Sub Jail,A2 Guruji,,Special Leave,Section 10 of the Evidence Act,English,1999,evening of that day,,,five year old,first,one
743158,Sampat,,Court,,Calcutta,,,,Words and Phrases,section 11 of the Suits Valuation Act,,2007,3 00 p m ,,,,first,one
1928398,Kapur,,Court,,Delhi,,,Patent and Trade Mark Cases 14,Suit No 18,I A No 2266,,1990,,,,,,two
309271,Shri Phadke,,Court,,Andhra Pradesh,,,,James An Insolvent,Art 233 of the Constitution,English,1976,,,,25 kgs,third,two
1295746,Deepak Pahwa s,,Gazette,,RAMASWAMY,,,,,Section 6,,40 days,,6 ,,,,1
938898,Sethuraman Chettiar,,Court,Gangai Vinayagar Temple ,Pondicherry,,O S No 7,,No 3 in O S No 6 of 1978,v Ishwarlal Bhai AIR 1952 SC 143 ,,1978,,,,,first,6
1134697,Challappan,Romans,State,the Bokaro Steel Plant,India,Mela,CISF,the Bokaro Steel Plant,The State of Madras,Article 311,English,1935,night,,1 K B 249 280,20 kgs,second,2
1505859,Manju,Roman,the High Court,the Takshasheela Apartments,Pune,P W 2,A 2,FAZAL ALI,Law of Evidence,s 32 1 of the Evidence Act,English,20,5 30 a m ,,2 000,5 15 a m ,second,2
310087,Mahazar,Indian,Indian Currency,the International Block of Trivandrum Airport,India,,Rs 2 88,,,the Customs Act,,1962,,,50 Rupees,,,2 88 900
91986422,Chetan Gupta,Indian,Sitagliptin,Delhi 263,India,Sitagliptin Hydrochloride Salt,Sitagliptin,,ZITA,Act,English,2009,minutes,about 1 ,1,100 mg,first,133
380655,Markandey Katju,,Court,,East Singhbhum,,,,,Rule 13A,,5th November 1998,,8 ,,,second,1
1830927,J ,Indian,Court,84 Rue du Rhone,India,H S Chowdhary,the Letter Rogatory,the Asian Games,Ors ,Constitution,English,1991,,,SEK 37 million,155 mm,first,2
33136745,Arun Jaitely,,Court,,Bangalore,North India,Officer s Choice Prestige Whisky,,Official Choice ,the TM Act,,1996,,,,,second,16
912526,Balwant Singh,,the High Court,,Visakhapatnam,,,,CMPSR No 49656,Nos 1 and 2,,6th February 1998,,,,2 acres,second,2
292286,R Raveendran,,the Andhra Pradesh High Court,,Orissa,,,,,Section 5 C,,November 25 1999,8 00 a m to 8 00 p m ,,,,first,one
1716282,Venu Gopal,Indian,State,the State List,Punjab,Rewa,X X X,Tamil Nadu Act 16 of 1974,the Tamil Nadu Government Gazette Extraordinary,the State Act,English,1979,,less than fifty one per cent,50,,first,two
429924,Chagla C J ,,the Bombay High Court,,K T ,,,, Naval Talkies ,Section 10,,1937,,,30 I T R 338,,,2
176039345,Harshad Govardhan Sondagar,Democratic,Court,,India,,,SARFAESI,the Statement of Objects and Reasons,Act,,2015,,,1 10 lakh,,first,4
508915,Sri Andal,British,Court,,India,,Cola,,Ramayana,RPC 774,English,1992,7 11 1992,,about Rs 1 50 lakhs,,first,two
810279,Desai,Indian,Court,Silver Art Palace,India,,U C C ,,Expln,Section 80HHC,English,1962,,x50 ,3 683 428,35 mm,first,1
88087196,Sanjay Dalia,,CPC,Vikrant Tower,Delhi,,RASNA,,RASNA,Section 20,,1999,,,,,second,19
309307,K N Palanisami Gounder,Roman Catholic,the High Court,A11,Coimbatore,,A 34,,A 34,Section 116 of the Evidence Act,,1959,,,,,first,two
69624144,J ,European,Court,Westminster Hall,Delhi,South District,CrPC,the 1971 Act ,the Study on Child Abuse India 2007,Act,English,1971,midnight for noon,,J 62,1 3 rd,first,2
170697,Ishan Chand Ghosh,Western,the High Court,,INDIA,South,,,,Civil Procedure Code,,2008,,,Rs one lakh,72 feet,first,one
1154981,Venugopal,,Court,the Port Trust,Visakhapatnam,,,ULC,WAMP No 1880,the Ceiling Act,,1972,,,39 cents,18 acres,first,1
1474119,Cooper,Indian,State,P 170,India,West,SC 889,the Round Table Conference,Ors ,Constitution,English,1976,,6 ,ten thousand rupees,,second,2
42355707,Shri Prakash Mohta,,SIL,West Zonal Bench,Kanpur,,CESTAT,New International Dictionary,Caveat,Section 28AB of the Customs Act,English,2005,,3 ,Rs 50 lakhs,Rs 25 lakhs,Third,one
146940961,Navaniti Prasad Singh,,Court,,Patna,,,,,Part III,,2009,10 30A M ,,,,,one
1278222,Judge,,Trust,Village Beneli,Gaushala,,Gat No 1061,,,section 88 B,,1950,,,,,First,two
62991042,Smt Parwatu,,Court,Kitats 32,Village Malag,,,,,XXII Rule 1,,2003,19 11 2000,,,,,one
223504,Bennett Coleman s,Indian,Government,the Lok Sabha,India,,S C R 930,the Bangladesh crisis,Sakal Papers,Constitution,English,1962,hour,40 ,275,7 paise,first,2
31239895,Prakash Kumar Jha,,State,,Uttarakhand,,,,,Under Section 307,,6 days,,,,1 km,second,two
582634,Plaintiff,,Defendants,,Chennai,Country,Terrapin,Summer Showdown , Work in Progress ,the Notice of Motion,,23rd May 2007,2 3 minutes,,Rs 10 50 000 Rupees Ten,2 3 mins,first,two
2671204,S S Ahmad,,Labour,Haryana 363,Madras,,,,,Section 14 of the Limitation Act,,1947,,,,,first,2
1030976,Rajpal,,Tribunal,,RAJIV SHAKDHER,,,,,the Commissioner of Income Tax Appeals,,years,,,1 71 crores,,5th,17
1905157,Sotam Singh,Charhi,Court,Banaras,Mirzapur,U P ,Claim 1,,Encyclopaedia Britannica,Act,,1951,,,3 000,1 777 cm ,first,1
672966,No 1,Anr ,Court,,Delhi,,HIMMATWALA HIMALAYA BATISA,,Ors ,HIMALAYA BATISA No 777,,1957,,,15 86,,second,1
528391,Mr Tulzapurkar,Muslim,Court,7 Bungalows,Mumbai,,Bademiya,,2 the Notice of Motion,Class 42,,1999,17 08 36,,,,4th,2
94788795,Binoy Viswam,,Court,,IN CHAMBERS,,,,,,,four weeks time,11 07 40,,,,,2017 09 08
292442,Choudhury,Hindu,the Supreme Court,,Madras,,,,,Section 2 6A,,that year,,at least 75 per cent,Rs 6 83 005,,first,2 72 703
52129591,Claudio De Simone,Indian,De Simone Formulation,Delhi 254,India,Europe,VSL 3,,De Simone Formulation,De Simone Formulation,English,6th December 2004,minute to minute,90 ,,,first,24
1187886,Shri Mehta,,CPIO,,New Delhi 110066,,Para 08,,Exhibit A,the RTI Act,,2005,,,Rs 60 crores,,third,3
1022584,S Poti,Indian,Court,,Ramkishore,,,,Ext ,Act,,20 June,,,2 500,,first,1
486081,Saka Venkata Rao,,Court,Jaipur Bench,Chandigarh,,Passport,,A B C ,Article 226 of the Constitution,,February 20 2004,,49 ,Rs 4 50 crores,,first,2
860600,Chandrika,,Court,Azad Road,Chennai,,Chandrika,,Original Side,Clause 12 of the Letters Patent,,2007,,90 ,several crores of rupees,,first,2
444303,Shanmugham,Hindu,the High Court,,Shanmugham,,Stridhanam,,,the Law of Limitation,Tamil,14 11 1941,,19 32 per cent,,,first,2
1341716,S Krishna,,Tribunal,the Digboi Refinery,US,,,,S D R ,List II of 7th Schedule of the Constitution,,1999,,more than 50 ,26 99 778,,46th,one
1877462,Tahsildar,Tahsildar,the Supreme Court,the Sree padam Palace,the Kerala State,the Malabar area,Tahsildar,,State of Kerala,Act,,1961,,10 as,two rupees,10 per acre,first,2
1500505,Shyam Divan,Indian,Court,3000 Advance Lane,India,,Patent Stem Engine,the Annual General Meeting,Ors ,Section 439,,1956,minutes,50 ,575 113 ,,7th,two
1353689,J ,Indian,Court,US 516,Maharashtra,,SCR 744,,Cr P C ,the 1952 Act,English,1952,minutes,,Rs 2 500,an inch,first,1
994554,Chandrasekhara Aiyar,,Government,Milk Plant,Punjab,,,Milk Day,,Act,,1948,minutes,8 to 2 ,1 4 96,,first,2
6544121,Gannon Dunkerley,,Court,Entry 48,States,,Everest Copiers vs,,Rainbow Colour Lab,Article 366,,2003,,five percent,,,second,two
6137338,Shri Umesh Gajankush,,Court,,Indore,,Asthijivak,,Asthijivak,Annexure P 12,,1954,,,,,,6
1103984,Vijai Singh,P B ,Legislature,,P B ,Naya Paisa,,Finance Acts,The Acts of 1961,Act,,1962,,15 per cent,,,first,4
465681,Mt Ram Kali,Hindu,Court,,,Mt Poona,,,,Section 65 Evidence Act,,1913,,,,,first,one
867423,Shri P S Poti,Kudikidappukaran,the High Court,,RAMASWAMY,,,,CRP No 2220,Section 106 of the Kerala Land Reforms Act,,1994,,,,,Secondly,4
1991497,Sorabjee,American,Court,,the State of Andhra Pradesh,,,,the Collins Cobuild English Language Dictionary,Act,English,day old,,,,,first,1
1960330,McDowell,Indian,DTAC,Circular No 789,Mauritius,Europe,,United States Tax upon compensation for labour personal services, Conduit Companies Report 1987 ,the Income tax Act,English,1961,,more than 50 ,61672 8 million Rupees,,third,one
109874394,Elvis Presley,Indian,Court,the Division Bench,New Jersey,,THE BIG EL SHOW,The BIG EL SHOW, Airport Love Theme ,Section 52,,two calendar years,,,2 230,,first,76
71315,S B Sinha,,Court,,Ors ,,,,Dead ,Article 142 of the Constitution of India,,2006,,9 ,Rs 18 lakhs,,second,8
280485,Abdul Ghafoor,,Court,Lahore 978,Rangoon,,,,,Section 47,,24th May 1989,,24 ,50 000,,second,two
1129833,Stenographer,,the High Court,,Kanpur,,,Appendix II,Appendix II,the 1950 Rules,English,1950,,,50 marks,,second,50
639803,Naqishbund,K S ,Board,458,Kashmir,Kashmir,the Sugar Cane Control Order,,H K An Infant,the All India Services Act,,1967,,,,,first,1
206804,Harbans Lal,,Court,No 1 of Railway Station,Kalema Tumba,,Muddamal,,I O ,Section 50,,10 days,about 5 25 p m ,,,7 k g ,second,3
36937,J ,,the State Government,,Punjab,the Central Provinces,,Punjab Act No 24 of 1959,Pandit Banarsi Das Bha,Act,,1976,,,,,first,2
382721,Itokhu Yepthomi,American,Court,the MD Course,Madras,,The Hippocractic Oath,,the Hippocractie Oath,the Code of Medical Ethics,,1987,,,410 US 113,,first,two
379222,Mangatu Ram,,Court,Command Area Development Avacut Road,Garedepalli village,Nalgonda District,,,the Collector s award,Section 28 A of the Act,,three months,,,,,second,6
875590,Shri Jethmalani,American,Parliament,285,India,Nagaland Hills District,,the Privy Purse,Sant Ram,Constitution,English,1978,24 hours,,,,first,3
1246653,Ramzan Khan s,Mexican,Court,,India,,SC 1260,AIR 1988 SC 1338,Introduction to Jurisprudence,the 42nd Amendment of the Constitution,English,1991,,,,100 air miles,second,two
590022,Sinha,,Court,,Calcutta,,,,Special Leave,the Amending Act,,8 years,,,,,second,4
837614,Shri P P Rao,J ,Commission,,Niyamavali,,Munsifs,the Niyamavali,U P P S C ,Article 234 of the Constitution,English,1951,,50 per cent,200 marks,,first,two
176508424,J K Sharma,English,Court,Ganesh Bazaar,Delhi,,,,Civil Appeal No 10643 44 of 2010,Section 62 of the Copyright Act,English,1957,,2660 2015 ,,,,18
39169380,Sorabjee,American,Court,the M P Upkar Adhiniyam,India,,Master Key,,Judgment,Act,English,2004,,,US Dollars 3 683 428,,8th,one
37963,Pista Devi,JJ ,Government,Bar,Jaipur,,,,C A No 1418 86,Section 17 4 ,,1953,,,16 crores,about 412 acres,third,1
1641452,Bench,French,Court,Konkan Railway,India,,Sub ,,Ors,Act,English,1996,,,,,first,one
108020655,Sasan,Indian,PPA,the State Load Despatch Centres,India,Kashmir,the Performance Test,the Performance Test,Initial Performance Retest Period,Schedule 5,English,one day,72 hours,95 ,fifteen lacs,101 38 MW,first,31 3 2013
1700195,M Menon,,the Central Bank of India Ltd ,SC 429,Kozhikode,South,,,,Clause,,17 11 1949,,,,,second,two
1697217,Shiv Chand Kapoor,Anr ,Controller,,Noronah,Bombay,SC 475,Military,R C A No 1085,Section 21,English,three years,,,5 000,,second,one
1831036,J ,Indian,the Election Commission,A C 297,India,Virendra,Caveat,the Second World War,Natural Justice Substance and Shadow,Constitution,English,1951,the last hour,100 ,,,first,1
794955,Shobrati Khan,P B ,the Labour Court,,West Bengal,,33A,,West Bengal in Case No 97 33A,s 33 1 of the Act,,1959,,,,,9th,33
33194727,Riya,European,Court,,India,,SCFH 130,,a National Register of Plant Varieties,Act,English,2019,minute to minute,100 ,,,third,36
962370,B N Kirpal,,WESTON COMPONENTS LTD,,,,,,,,,4 January 2000,,,,,,7144
1271015,Tulsi,Teletubby,Court,,India,,Tide,,T V ,Section 14,English,1957,about 30 seconds,,million of dollars,,first,2
1615016,Pandit Sharma,Ayurvedic,Navaratna,SC 558,London,,Navaratna,,Navaratna Kalpa Pharmacy,the Trade Marks Act,English,1940,,100 per cent,,,first,two
1053542,D Cawasji,D ,Court,the High Court,Mysore,,Arrack,,The Statement of Objects,Act,,1969,,6 1 2 to 45 ,45 per cent,55 paise a litre,Second,1
20356733,JJ,,Petitioner,,India,,Packet A B,,,paras 38,,05 February 2014,23 14 32,90 ,,,third,6
1304475,Cunningham,,Court,SC 389,the United States,the District,SC 150,,Master of Rolls,Article 136,English,2010,,,,,first,4
849254,Dongray,American,Court,the R Mill,Vijayawada,the S Mill,,,State Of Kerala,Act,,annual,,25 ,,200 meters,first,one
241970,Venkata Reddy,,Court,Site No 433,Bangalore,,Borewell,,,Respondent No 2,,2007,,about 80 ,2 00 000 Rupees,90 ft,second,1
468834,Raja Ram,British,Court,the Nyaya Panchayat,Talluri,,,,Full Bench,the Evidence Act,English,June 8 1971,,,,,4th,2
1023674,Bill,Indian,Court,,the State of Andhra Pradesh,the Telangana Area,,Ordinance No 21,State of Andhra Pradesh Anr ,Ordinance,English,1984,,,,,first,two
1482259,Venkatachaliah,J ,Court,M s Ujagar Prints v Union of India Ors ,India,,Grey fabric,List II,Special Leave,Act,,1944,,Twenty per cent,Twenty per cent,five per square metre,first,3
653417,Alladi,Australian,Court,A C 275,India,,Vide W F O Connor,Civil Appeal No XXXIV,Notwithstanding anything in this Chapter,article 136,English,1950,a minute,,,,first,1
329158,Rukibai N Bhavnani,,Registrar,Warden Road,Bombay,, Navik Niwas ,,Award,the Rent Act,,1960,,,100,,first,1
199908142,Nariman,,Court,SC 540,India,,Case No 10,,the Shrine,the Public Premises Act,,1971,,less than 51 per cent,,,first,1
1484358,Dulare,,the High Court,,Matadin,,,,,Section 149,,two years R I,,,,,,1
403501,Raj 24,,Court,the Ajmer Jaipur,Jaipur,,,,The State Of Rajasthan And Ors ,Rules,,1959,,,,,first,one
1147125,Shah Babulal Khimji s,Indian,Court,Mumbai Port,India,Europe,Sea Ranger ,the European Convention on Jurisdiction and Judgments 1968,Shipping Law,Act,English,1999,,25 ,1 000 000,2 m,1st,1
17789938,Gupta,,Petitioner,,Pune,,,,,Section 19,,1 2016,,,,,second,two
491934,J Dougall,,Revenue,,India,,,,Law of Income,Act,,year,,40 c,seventy two thousand rupees,,second,40A
1763592,Durgalu,K D,the High Court,the Village Munsif,Kodur,,Kodur,,Judgment,Art 226 of the Constitution,,March 5 1954,the same night,,,,first,two
296025,Iqbal Singh,,IPC,797,Amritsar,,D 2,,a First Information Report,Section 306,,seven years,that night,,12 500,,,two
54995969,S Anandhi,,the Division Bench,,Madras,,,,,Rules,,2015,,19 ,,,secondly,three
458739,Sitapur,,Court,,FAZALALI,,,,,Act,,1979,,,10 000,,first,1
1752565,G B Pattanaik,Indias,Court,,India,,,the Commission on International Trade Law,S L P ,Act,,1996,,,,,third,6
96002,Mahadevi,,the High Court,,Siddapur Taluk,Siddapur Sub Registrar,,Occupation,AIR 1953 SC 7,Section 13,English,the year 1936,,,,,second,4385
128161,C J ,British,State,,India,Indian India,Section 3,Part XIII,The State of Bombay,Art 301,,1953,,,,a few miles,seventh,one
1341895,Khanna,,Court,,Calcutta,,AIR SCW 3051,,Farrell v Alexander,Act,,1957,,,1 13 258,,1st,two
165621647,Sinha,Indian,SEBI,UNIT 64,India,Sahara,Search,,the Balance Sheet of the UTI AMC,Rule 6,Latin,27th December 2006,minutes,100 ,Rs 1 00,,first,two
980877,P N Monga,Swiss,Tribunal,the Division Bench,India,,M s Chatillon,,Act ,ITR 139 88,Tamil,1986,hours,25 ,30 57 499,250 million liras,third,65
1725672,Shri T L Vishwanatha Iyar,Malaysian,State,,Malaysia,,,,,Treaty,,1961,,less than ten per cent,,,first,one
1130742,Devin Katti,Tehsildar,Court,,N T ,,Category I,the Selection Grade,Category II,the Additional List,,15th March 1994,,,893 marks,,first,one
111777378,Sanjoy Gupta,,ARCIL,TTC Industrial Area,Maharashtra,,,,Excel,Agreement,,2002,,,one hundred rupees,,third,two
279427,Kanwar Pal Singh Gill,,the High Court,,Patna,,,,a Title Suit,Section 482 of the Code,,2002,,,,,first,1
1754074,Alayazhi,Malayalam,the High Court,Nadars Garden,India,,A 30 101972,Golden Jubilee, Avalute Ravukal ,Act,Malayalam,weekly,23 3 1978,,two lakhs rupees,,second,6
784749,Simla,,JUDGMENT BISHAN NARAIN,,J ,,,,,the Income tax Act,,that year,,less than 80 per cent,,,,6
732612,Bill,B ,State,Moreton Day adjacent,States,Central Provinces,,Moreton Day, Taxes on the sale of goods and on advertisements ,Constitution,,1956,,4 per cent,four per cent,13 4 miles,first,1
1414629,Robert P Bigelow,,Tribunal,,Mysore,,,,,the Customs Excise and Gold Control Appellate Tribunal,,1985,,,,,Second,1
857323,Dastur,Indian,CIT,the Ranchi Bench,India,G Kunhayammed,GSM,Year,A O ,Act,English,the end of the assessment year,1 6 1995,100 ,6 33 million,6 m,first,1
47808634,Singhvi,,the State Government,Rs 1030,the State of Madhya Pradesh,,Bastar Oil Mills In dustries,,M T ,Article 14,,12 years,,5 ,10 000 M T,7500 M T ,second,two
1867924,M H Mazumdar,,Government,,Kolhapur,,,,,Rule 189,,1988,,50 per cent,,,,1
1333219,Pathak,Indian,the High Court,,India,,Durex,Civil Appeal No 26,Original No 41,the English Act,English,1963,, 1 to 10 3 ,between two marks,,8th,1
1186368,H L Chowdhury,Orthodox,Government,,India,Kashmir,,Resolution, Public Personnel Administration ,the Fundamental Rights,English,the academic year 1979 80,more than 2 or 3 minutes,more than 15 ,275 marks,,first,one
102886851,Chittaranjan Satapathy,Indian,CCE,,Sri Lanka,,Ritzbury,,Cal ,Rule 27 of the CESTAT Procedure Rules,,2011,,100 ,,,first,2
1610804,Panchal,,Court,,State of Goa,,,,,the Limitation Act,,1963,,,,,third,2
736105,Grover,A N ,Tribunal,,Bombay City,,,,Ex parte Martin x,Act,,1969,,,,,first,1
1566,Munsif,Munsif,Government,Punjab Haryana 278 652,Patna,the Singhbhum District,,the Subordinate Judge,No 86,r 76 of the Service Code,,August 5 1966,,,,,first,1
605322,Prasad v Srish Chandra,,District Munsif,,Shiba,District Munsif,,,,O S No 224,,1955,26 12 1951,5 1 2 per cent,1 900,,second,1 400
1902038,J ,Sadar i Riyasat,the Union of India,the new Express Building,Delhi,Asaf Ali Road,FAR 360,the Emergency,the Printed Master Plan and the Zonal Development Plan for D II,the Master Plan,Hindi,1957,the minutes,100 ,36 000,2740 sq,second,2
74910860,Chatterjee,,Court,Park Street,Kolkata,,,,A B C ,Clause 12 of the Letters Patent,,24,,,56 21 082,,Second,4
51689837,Shri Gaurav Agarwal,,Court,,NEW DELHI,,,,the Collector s award,Section 28A of the Act,,3 months,,,,,second,25 1 2012
6547,Ciba,Swiss,CIT,the Madras High Court,India,,Waterman,the Mysore Kirloskar case,John Smith and Son v Moore,Article 6,English,1968,,50 ,18 825,at least 5 000 tons,first,6
1844910,Kaul,Pandian,State,,J ,S R Bommai,,,S R Bommai,Article 311,,1995,minutes,,,,second,2
1024124,Munshi,Anr ,Court,,Ahmedabad,,,,,the Indian Arbitration Act,,1947,,,,,first,1
79561,R Abichandani,Indian,CIT,,Ahmedabad,,,,,s 263 of the Act,,1st September 1972 upto 10th March 1982,,one half per cent,3 25 927,,,2
119316583,Anjali Bhargava,,B S N L,,,,,,,,,2011,,,,,,16 07 2015
1890994,Black,Australian,the High Court,the King s Bench,Grundt,,,,High Trees,Article 14,,1997,,,Rs 300 lakhs,,,2
982330,M Kumar,,CIT,the Delhi Bench,Bangalore,,,,F No 63 Ad,Act,,29th June 2004,,,Rs 36 10 68 000,,first,2
175238601,Plaint,,Court,SC 538,Delhi,,Plaint,The Preliminary Question,Plaint,Plaint,,1957,, ,,,secondly,20
793618,Bhardwaj,Taiwanese,Court,Delhi 136,Regd,,Hardened,,,Section 19 of the Act,English,2000,,,twenty five thousand rupees,,Second,two
181459283,Chagla,Indian,CCI,Ahura Centre,India,,LM Ericsson,the 2015 SLA,Ors ,the Competition Act,,2015,minutes,18 ,Rs 117 46 crores,Rs 266 per,first,3
1281050,A S Irani,J ,Government,the Bombay Airport,the United States,,Anthority,,The meaning of State Action 60 Colombia Law Review 1083,Article 14,,at least 5 years ,12 p m,99 ,6666 66,hundreds of acres,4th,1
1149874,J ,Indian,Company,,the State of West Bengal,,,,the Prize Chits,Act,,1977,morning,25 ,one thousand rupees,,first,two
